Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Force Beam 1 (N),Force Beam 2 (N),Force Beam 3 (N),Force Beam 4 (N),Normal Force (N),Parallel Force (N),Force Beam 1 (N),Force Beam 2 (N),Force Beam 3 (N),Force Beam 4 (N),Normal Force (N),Parallel Force (N)
2/20/2019 21:03,"0,179","65,92","94,77","5,70","81,72","248,11","29,82","107,15","84,73","26,54","84,95","303,37","-18,29"
2/20/2019 21:03,"0,180","65,78","95,10","5,61","81,58","248,08","29,91","107,07","84,78","26,51","84,95","303,32","-18,29"
2/20/2019 21:03,"0,181","65,92","94,66","5,53","81,64","247,75","29,60","107,23","84,51","26,29","85,03","303,07","-18,29"
2/20/2019 21:03,"0,182","65,84","94,69","5,50","81,47","247,50","29,60","107,18","84,89","26,35","85,19","303,61","-18,11"
2/20/2019 21:03,"0,183","65,70","94,94","5,78","81,72","248,14","29,82","107,35","84,59","26,24","85,00","303,18","-18,03"
2/20/2019 21:03,"0,184","65,73","94,72","5,64","81,64","247,72","29,78","107,49","84,51","26,27","84,98","303,24","-18,11"
2/20/2019 21:03,"0,185","65,64","94,66","5,50","81,69","247,50","29,78","107,35","84,40","26,08","85,08","302,90","-18,29"
2/20/2019 21:03,"0,186","65,70","94,47","5,64","81,53","247,34","29,60","107,62","84,40","26,08","85,00","303,10","-18,11"
2/20/2019 21:03,"0,187","65,92","94,94","5,50","81,61","247,97","29,69","107,40","84,12","26,24","85,35","303,11","-18,42"
2/20/2019 21:03,"0,188","65,97","94,80","5,70","81,53","248,00","29,91","107,68","84,29","25,86","85,13","302,96","-18,24"
2/20/2019 21:03,"0,189","66,03","94,75","5,45","81,80","248,02","29,73","107,54","84,18","25,86","85,24","302,82","-18,24"
2/20/2019 21:03,"0,190","65,67","94,66","5,64","81,75","247,72","29,73","107,65","84,23","26,29","85,13","303,32","-18,37"
2/20/2019 21:03,"0,191","65,81","94,86","5,45","81,72","247,83","29,56","107,60","84,12","26,10","85,19","303,01","-18,24"
2/20/2019 21:03,"0,192","65,86","94,55","5,42","81,50","247,34","29,91","107,62","84,29","26,05","85,35","303,31","-18,37"
