fp1,fp2
376.92,415.65
376.58,415.4
376.9,415.62
376.66,415.57
376.63,415.51
376.77,414.93
376.55,415.1
376.76,415.57
376.37,415.3
376.3,415.41
376.56,415.52
376.69,415.27
376.54,415.16
376.08,414.97
376.35,415.38
376.03,414.72
375.93,415.16
375.89,414.81
375.82,415.17
375.32,414.53
376.04,414.59
375.98,414.75
375.64,414.65
375.6,414.56
375.7,414.59
375.12,414.65
375.68,414.59
375.08,414.49
375.46,414.46
375.04,414.6
375.32,414.46
375.15,414.85
375.3,415.1
375.49,414.71
375.23,414.8
375,414.8
374.85,414.39
374.72,414.99
374.72,415.1
375.08,414.64
374.99,414.58
374.39,414.75
374.55,414.58
374.25,414.81
374.65,414.73
374.66,414.78
374.52,414.53
374.49,414.92
374.37,414.46
374.35,414.43
374.56,414.93
374.51,414.43
374.29,415.07
374.52,415.18
374.39,414.69
374.64,415.02
374.12,414.11
374.27,414.8
374.87,414.72
374.71,415.08
375.07,414.7
374.5,415.25
374.77,414.89
375,415.08
374.53,414.76
375.08,415.17
375.11,414.95
375.09,414.79
375.62,414.79
375.35,415.18
375.72,414.96
375.33,415.62
375.62,415.51
375.62,415.21
375.83,415.71
376.06,415.46
375.81,415.35
375.97,415.24
376.67,415.66
376.59,415.33
376.32,415.52
376.63,415.58
376.73,415.42
376.77,414.98
376.57,414.87
376.72,415.36
377.17,415.7
376.86,415.37
376.85,415.48
377.31,415.48
376.97,415.23
377.31,415.73
377.29,415.65
377.07,415.4
376.74,415.57
377.41,415.71
377.01,415.79
377.15,415.49
377.39,415.43
377.04,415.11
377.13,415.49
376.91,415.99
377.08,415.71
377.12,415.66
377.43,415.38
376.78,415.03
377.07,415.94
377.08,415.33
376.84,415.53
376.99,415.72
377.11,416.05
376.59,415.56
376.61,415.69
376.58,416.08
376.29,415.39
376.56,415.92
376.18,415.78
376.26,416.22
376.34,416.19
376.44,415.76
376.29,416.14
376.24,416.25
376.17,415.87
376.03,415.89
375.8,415.78
376.12,416.03
375.88,415.76
375.95,415.76
375.2,415.87
375.49,415.98
375.94,415.98
375.78,415.71
375.25,415.46
375.38,416.07
375.58,415.74
375.32,415.35
375.15,415.24
375.26,415.28
375.15,415.66
374.97,415.41
374.76,415.22
375.44,415.52
374.76,415.8
374.93,415.33
374.22,415.77
374.38,415.69
374.64,415.91
374.75,415.58
374.59,415.28
374.26,415.09
374.24,415.67
374.66,415.64
374.26,415.78
374.31,415.7
374.65,415.81
374.22,415.95
374.04,415.84
374.16,415.92
374.5,416.47
374.81,416.36
374.13,416.23
374,416.06
374.03,416.58
374.15,416.36
373.6,417
373.77,416.81
373.79,416.97
374.11,416.86
374.01,417.03
374.21,417.25
374.2,417.33
374.65,417.22
374.42,417.58
374.54,416.84
374.77,417.47
374.21,417.94
375.05,418.05
374.89,418.05
374.79,418.22
375.05,417.78
375.39,418.36
374.93,418.44
374.96,418.71
374.74,418.55
374.94,418.69
374.96,418.58
375.14,419.24
374.93,418.8
374.76,419.52
374.88,419.85
374.88,419.68
375.2,419.68
375.51,419.46
375.06,419.77
375.34,419.55
375.24,419.38
375.19,419.55
375.29,420.04
375.25,420.15
374.94,420.1
374.68,420.6
374.83,420.1
374.81,420.1
374.99,420.68
375.19,420.18
374.79,420.32
374.64,420.3
374.79,420.43
374.76,420.65
374.52,420.24
374.4,420.52
374.76,420.68
374.3,421.04
374.27,420.68
374.34,420.85
374.16,420.46
374,420.66
374.07,421.07
374.01,420.46
373.73,420.68
373.9,420.27
373.18,420.63
372.84,420.38
373.51,420.66
373.46,420.05
373.39,420.13
372.67,420.38
372.89,420.11
372.67,419.89
372.64,420.02
372.55,420.19
372.55,419.92
372.4,419.58
372.44,419.42
372.47,419.04
372.11,419.25
371.84,419.25
372.05,419.56
371.87,419.12
372.17,419.45
371.84,419.04
371.84,419.06
371.79,419.14
371.85,418.95
371.96,418.93
371.54,419.26
371.72,419.04
371.77,419.15
371.96,419.48
371.27,419.23
371.25,419.06
371.89,419.37
371.35,419.5
371.67,419.92
371.85,419.48
370.95,419.28
371.33,419.34
371.68,419.89
371.85,419.37
371.77,419.59
371.87,419.67
372.12,419.94
372.41,419.86
372.38,419.78
372.12,419.89
372.47,419.72
372.54,420
373.01,420
372.72,419.97
372.74,419.94
373.26,420.41
373.44,420.44
373.39,420.41
373.42,420.41
374.23,420.38
374.28,420.41
374.58,420.27
374.66,420.24
374.03,419.89
374.58,419.83
374.87,420.19
375.06,420.49
374.71,419.91
375.22,420.02
375.28,420.08
375.57,420.08
375.49,419.8
375.26,420.24
375.98,419.8
375.9,419.75
375.86,419.55
375.82,420.1
376.21,419.55
375.77,419.5
375.68,419.5
375.7,419.28
375.92,419.55
375.47,419.03
375.33,419.03
375.98,419.16
375.3,418.92
375.84,418.39
375.1,418.37
375.04,418.53
374.98,418.14
375.04,418.28
374.78,418.09
375.13,418.22
374.6,417.89
374.48,417.54
374.33,417.65
374.74,417.43
374.5,417.18
374.55,417.26
374.06,417.31
373.53,416.46
374.16,416.96
373.91,416.6
373.8,416.68
373.68,416.65
373.44,416.57
372.96,416.52
373.48,415.91
373.22,416.13
372.99,416.24
372.67,416.38
372.47,416.43
372.63,416.1
372.6,415.63
372.58,415.77
372.67,416.21
372.3,416.27
372.54,416.32
372.28,416.71
372.26,416.54
